ticker,exchange_suffix,name,sector,isin,euronext_symbol,mic,market_key,market,market_display,euronext_adn,url,source,source_date
4DELL.MI,.MI,Dell Technologies,,US24703L2025,4DELL,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DEQ.MI,.MI,DEUTSCHE EUROSHOP,,DE0007480204,4DEQ,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DEZ.MI,.MI,DEUTZ,,DE0006305006,4DEZ,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DG.MI,.MI,VINCI,,FR0000125486,4DG,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DGX.MI,.MI,DOLLAR GENERAL,,US2566771059,4DGX,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DHER.MI,.MI,DELIVERY HERO,,DE000A2E4K43,4DHER,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DHL.MI,.MI,DEUTSCHE POST,,DE0005552004,4DHL,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DHR.MI,.MI,DANAHER,,US2358511028,4DHR,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DIM.MI,.MI,SARTORIUS STEDIM B,,FR0013154002,4DIM,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DIS.MI,.MI,THE WALT DISNEY,,US2546871060,4DIS,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DOW.MI,.MI,DOW,,US2605571031,4DOW,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DR.MI,.MI,DEUTSCHE ROHSTOFF,,DE000A0XYG76,4DR,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DSY.MI,.MI,DASSAULT SYSTEMES,,FR0014003TT8,4DSY,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DTE.MI,.MI,DEUTSCHE TELEKOM,,DE0005557508,4DTE,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DUE.MI,.MI,DURR,,DE0005565204,4DUE,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DWNI.MI,.MI,DEUTSCHE WOHNEN,,DE000A0HN5C6,4DWNI,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4DY6.MI,.MI,DEVON ENERGY,,US25179M1036,4DY6,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EA.MI,.MI,ELECTRONIC ARTS,,US2855121099,4EA,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EBAY.MI,.MI,EBAY,,US2786421030,4EBAY,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EBS.MI,.MI,Erste Group Bank,,AT0000652011,4EBS,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ECL.MI,.MI,ECOLAB,,US2788651006,4ECL,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4ED.MI,.MI,CONSOLIDATED EDIS,,US2091151041,4ED,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
4EDP.MI,.MI,"EDP, SA",,PTEDP0AM0009,4EDP,MTAA,milan,Euronext Milan,EuroTLX,,,euronext_current_directory_csv_export,2026-05-10
